feature,feature_label,spearman,top10_hits,average_precision,n_topics,cutoff_year,eval_end_year,scope,scope_label
raw_acceleration_1y,1-year acceleration,-0.11559032716927453,2,0.19962008566049577,75,2020,2023,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.693662840923115,5,0.5426532239690134,73,2021,2024,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.653646797482414,5,0.4464523050049366,73,2021,2024,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.638066148340121,5,0.5199681598594642,73,2021,2024,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.5012032580525733,4,0.45817699209003554,73,2021,2024,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.34934592126372954,4,0.45981003068260123,73,2021,2024,primary,Primary topic
cutoff_log_count,Topic size at cutoff,0.25271504381093424,3,0.25535370614344666,73,2021,2024,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.08685054917931632,1,0.16056938897722137,73,2021,2024,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.5173343206219918,3,0.4984286546786546,74,2022,2025,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.5135727508330248,5,0.5061904761904761,74,2022,2025,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.48004442798963337,6,0.5723793363499247,74,2022,2025,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.47506849315068483,4,0.3800668775668775,74,2022,2025,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.38174009626064415,3,0.4533109872790724,74,2022,2025,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.18273232136245832,2,0.25260771345228467,74,2022,2025,primary,Primary topic
cutoff_log_count,Topic size at cutoff,0.16049227310009018,4,0.29814912825746115,74,2022,2025,primary,Primary topic
